User ID,Studying,animals,cooking,culture,dogs,education,fitness,food,healthy eating,public speaking,science,soccer,studying,technology,tennis,travel,veganism,clusters
002cd824-10f2-447c-8d1c-940325a1cdf4,0,4,1,5,2,1,3,4,1,1,2,2,4,5,4,2,2,0
007a1366-a46f-40f1-9ba5-01245aeaf20f,0,2,0,2,1,5,2,2,5,1,2,2,2,2,0,1,2,2
03e3a23a-a77a-41da-9ecd-3f2ff9e5bc90,0,3,2,2,2,2,1,5,2,0,1,3,3,3,1,2,1,0
04e52602-e370-4a99-bfda-f0c1655058da,0,1,1,4,1,3,1,3,3,3,0,0,2,1,4,3,3,2
052faed2-37ac-4a2c-ba6f-2657322e4fa5,0,4,1,4,2,2,2,3,5,1,4,2,1,5,2,1,7,0
054b5d2a-7ee3-49c8-912a-1cf58389ae60,0,4,5,0,4,5,2,2,3,0,3,3,2,5,2,2,1,4
05782669-264e-4c14-990e-14c8dbb13bef,0,2,3,0,3,2,3,2,2,1,4,4,6,1,2,2,0,4
05d7e77f-a18a-4358-a23a-46c560b3682e,0,2,1,3,1,2,1,3,3,2,7,2,1,2,2,0,0,0
06a8036a-6e4c-4b15-a6c8-ca74ac11ea73,0,1,7,3,1,1,1,4,4,2,1,2,4,1,1,0,1,4
07061727-dc05-4411-ab78-79f95b1869a9,0,3,3,1,3,6,4,2,2,2,4,1,5,2,3,6,1,1
07f4dcd0-2bf3-4f21-9da3-b054b511ae00,0,4,3,1,3,2,0,3,2,2,2,3,1,4,0,2,0,0
0828c4e1-63ec-4121-aa07-eefd37954bb9,0,3,5,3,2,1,3,1,3,1,3,3,3,3,1,3,4,4
084eb113-0d87-4ae5-891b-2ec7f1e194a8,0,1,6,2,1,2,1,2,5,1,1,0,1,3,2,2,0,4
0871bb31-3d6e-4e4c-ab19-95a262cac0d4,0,2,4,6,2,0,8,2,4,8,0,4,3,3,6,1,2,0
0873e9a7-234a-4096-a92a-8dc7a03eb0c5,0,4,7,4,1,2,0,6,5,0,1,0,0,2,3,2,2,4
08c64787-e47b-4a7f-b00b-5590eb5fbc3a,0,4,0,3,2,5,2,2,0,1,1,1,1,1,1,4,1,3
094fbe49-da84-4445-9d28-7fc5f593f5ad,0,0,1,2,4,2,1,1,2,4,1,3,0,4,1,1,1,2
0a1cde57-79ab-4c61-b664-1d3b290b43cf,1,3,1,3,4,3,3,6,1,1,5,2,0,2,0,4,3,0
0c347562-ce55-450b-91ab-0707662b36f5,0,2,3,3,4,2,0,4,3,1,1,3,2,2,4,5,2,1
0c5b0547-820a-4beb-832e-3162f74ccfa7,0,1,4,3,4,3,2,0,3,3,1,5,4,1,2,4,1,1
0c9ea4da-c609-4b08-ab44-1da0530ba364,0,2,3,3,3,2,5,1,0,0,1,2,1,1,2,2,3,2
0ce03276-e538-4c96-bcae-9844fb0628ac,0,3,0,3,4,0,3,2,3,0,1,3,1,1,1,3,2,2
0d47a133-383b-4a9c-976c-697ac65ccb19,0,1,3,0,1,4,0,0,4,1,2,1,0,1,3,1,2,2
0f1f6aef-b094-4b4d-b6b6-412ebc42c12b,0,2,2,1,0,1,4,2,4,2,1,3,1,3,1,0,2,2
0f21b6d6-7be6-484c-9698-d851ad7d43c5,0,2,3,2,2,3,0,3,2,1,1,1,1,4,4,7,1,1
104c4dcb-70d5-4d87-b5b5-8b67205891fe,0,1,2,2,1,2,1,0,5,4,2,1,2,3,2,1,3,2
108fc1be-9c15-440a-9cab-634c3f414dcc,0,2,9,3,1,3,5,2,2,1,2,1,1,2,2,4,5,4
109782f9-4141-4d5a-826f-9a4ea672f65b,0,6,3,1,5,2,4,1,2,1,2,2,2,3,1,4,0,3
10f311c3-f547-4260-8c0e-a155008b7936,0,2,2,2,2,2,2,1,3,0,3,3,2,2,1,3,3,2
11f207c2-0113-47e5-aa9a-df2c7b91ac75,0,3,3,3,2,6,1,3,2,0,4,4,2,3,2,4,4,1
122c3e03-0a96-4d62-9d17-27f8e2b6ba58,0,2,3,2,1,3,4,4,3,3,1,1,3,3,2,3,2,2
132b1407-16fa-48f8-8112-3e426974bbb7,0,4,1,1,3,6,5,0,1,1,1,4,0,1,3,2,1,3
13c06e7e-833d-47eb-a790-5e09ccfd8d2c,1,1,2,3,1,4,0,1,4,1,0,1,1,2,2,3,2,2
13f0db8a-152a-496f-a6e8-1ed6a90b8788,0,1,1,3,3,1,1,4,0,2,2,2,1,3,4,4,3,0
1545ddaf-2b75-4143-82fe-b88966aee4fb,0,3,1,2,1,1,3,2,0,7,0,3,0,2,1,3,4,0
1582dac6-ebec-43ed-a34a-1a202ca72627,0,3,2,0,1,1,3,1,1,1,1,1,3,3,3,6,2,1
